id	filename	md5	size	state
e5e7bff8-cf44-47d9-9328-358ff8dc9172	TCGA-97-7938-01Z-00-DX1.d774d0a2-ee34-43ba-9d9d-34bf9718292e.svs	9753c41ead76e442bf4395736eb79849	1209966176	validated
1669aee8-800f-4908-962b-b9cf4211f334	TCGA-86-8674-01Z-00-DX1.9fcaae4e-4062-45ab-a49d-7dba43040919.svs	7ef0f9e76bbf2ecac2a8848fb9f9c0c9	430809199	validated
9fde21c2-0389-4f5b-87cd-60f5d95f76d7	TCGA-MP-A4TE-01Z-00-DX1.B4680570-FD2E-47A5-8D50-A508CEB6A62C.svs	f91411bea899cfa8833e3e8ec003e340	1960704869	validated
f515e28d-f300-49ff-8a67-9f4492af5a12	TCGA-78-7167-01Z-00-DX1.f79e1a9b-a3eb-4c91-a1fd-7bb58b1620b1.svs	917f90a1cb483b3836558ca626ab3d6f	1091331787	validated
b65fab73-e962-471c-91f8-93d636bdb996	TCGA-35-3615-01Z-00-DX1.585128eb-6652-4b05-9a83-dc8f242904a6.svs	0c9a2979833eb087376153c225d5413e	721145917	validated
50178e6d-ee5f-4200-b0b1-faeab97b2c1b	TCGA-49-6743-01Z-00-DX1.ddae5601-6ffa-4a70-8755-8645d5e45135.svs	d02b3a0a8f381c4dacbc494cbf857ca8	1361820523	validated
accc12d3-3a4f-4597-a9c8-31d0b2ac090c	TCGA-95-7039-01Z-00-DX1.C191A46D-A667-4BF6-8E6B-3E5CBF9DF43F.svs	3b36db74c95d86c5521c959af4df32cf	1290184124	validated
a9b535d7-0f38-466c-b5d5-feb5e055af0b	TCGA-55-8205-01Z-00-DX1.6df6d499-f325-409d-acb1-9e13172f2bb4.svs	3534b7701505661d24c3fd9b99690d6c	191006041	validated
57246c93-5967-4f70-a29e-85d0e325566c	TCGA-44-6147-01Z-00-DX1.a34a9f49-e86b-43ee-9e2d-7ef35da0aecf.svs	5b954c976f7464f476196eb5102fba1d	229097175	validated
95a6567b-5fd7-433c-a439-f70751da2e06	TCGA-49-6744-01Z-00-DX2.1982e585-65a4-4330-9140-ccabcdd106f8.svs	63ba6735a6792a1584c8881c0722a8ae	814444295	validated
d3c2cf64-cd79-4857-b4e8-146e09205ae2	TCGA-97-8177-01Z-00-DX1.4c2ddf48-40d3-4fa0-8b5f-0485e8270ac7.svs	4ca023a2b6441204bfd1e28371c5a381	2192021146	validated
